id,item1,item2,item3,item4,item5,item6,item7,item8,item9
261,0,0,0,0,0,0,1,0,0
262,0,0,0,0,0,0,0,0,0
263,1,0,0,1,1,1,1,1,1
264,1,1,0,0,1,0,0,1,0
265,1,0,0,0,0,0,0,0,0
266,1,0,0,0,0,0,0,0,1
267,1,1,0,0,0,0,0,0,1
268,1,1,0,0,0,1,0,0,0
269,0,0,0,0,0,0,0,0,0
270,1,1,0,0,0,0,0,0,1
271,1,0,0,0,0,0,0,0,0
272,1,0,0,0,0,0,0,0,1
273,1,0,0,1,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0
277,0,0,0,1,0,0,0,0,0
278,0,0,0,1,0,1,0,0,0
279,0,0,0,0,0,0,0,0,0
280,1,1,1,0,0,1,0,0,0
281,1,1,1,0,0,0,0,0,1
282,1,0,0,0,0,0,1,0,0
283,1,0,0,0,1,1,1,0,0
284,1,0,1,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,1
286,1,0,0,0,0,1,0,0,0
287,0,1,1,0,0,1,1,0,1
288,1,0,0,0,0,0,0,0,1
289,0,0,0,0,0,1,0,0,0
290,1,1,0,0,1,0,0,0,0
291,1,0,0,0,0,0,0,1,0
292,1,0,0,0,0,0,0,0,0
293,0,1,0,0,0,0,0,0,0
294,1,0,1,0,0,0,0,0,1
295,1,1,1,0,1,0,0,0,1
296,1,0,0,0,0,0,1,0,1
297,1,0,0,0,1,0,1,0,0
298,0,0,0,0,0,0,0,0,0
299,1,0,0,0,0,1,0,0,1
300,0,0,0,0,0,0,0,0,0
301,1,1,0,0,0,1,0,0,0
302,1,0,0,0,0,1,0,0,1
303,0,1,0,0,0,0,1,0,0
304,0,0,0,0,0,0,0,0,0
305,1,1,0,0,0,0,0,0,1
306,1,0,1,0,1,0,1,1,0
307,1,0,0,0,0,0,0,0,1
308,1,0,0,0,0,0,0,0,1
309,1,0,0,0,0,0,0,0,0
310,1,1,0,0,1,1,0,0,0
311,1,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,1,1,1,1,0,1,0,1,1
314,0,0,0,0,0,1,0,0,0
315,1,0,0,0,0,0,0,1,0
316,1,0,0,0,0,0,1,0,0
317,0,0,0,0,0,0,0,0,1
318,1,1,0,0,1,1,0,0,1
319,1,0,0,0,0,1,0,0,0
320,1,1,0,0,0,0,0,0,0
321,1,0,1,0,0,0,0,0,0
322,1,0,0,0,0,1,0,0,0
323,1,0,0,0,0,1,0,0,0
324,1,0,0,0,0,0,0,0,0
325,1,0,0,0,0,1,0,0,1
326,1,1,0,1,1,0,0,1,0
327,1,0,0,0,0,0,0,0,0
328,1,0,0,0,0,0,0,1,0
329,1,0,0,0,0,0,1,0,0
330,1,0,0,0,1,1,0,0,0
331,1,1,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,1,0
333,1,1,0,0,0,1,0,0,0
334,1,0,0,0,0,0,0,0,0
335,1,0,0,0,0,1,0,0,0
336,0,0,0,0,0,1,0,0,0
337,1,0,0,0,0,1,0,0,1
338,1,1,0,0,0,0,0,0,1
339,1,1,0,1,1,1,0,0,0
340,1,0,0,0,0,0,0,0,0
341,0,1,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0
343,1,1,0,0,0,1,0,1,1
344,0,1,0,0,0,0,0,1,0
345,1,0,0,0,0,1,0,0,0
346,0,0,0,1,0,1,0,1,1
347,1,0,0,0,0,1,0,0,0
348,1,1,0,0,0,0,0,0,1
349,1,0,0,0,0,0,0,0,0
350,1,0,0,0,1,0,0,0,0
351,0,0,0,1,0,1,0,0,1
352,0,0,0,0,0,0,0,0,1
353,0,0,0,0,0,0,0,0,0
354,1,0,0,0,0,1,0,0,1
355,1,0,0,0,0,1,0,0,1
356,0,0,0,0,0,0,0,0,1
357,1,1,0,0,0,0,0,0,1
358,1,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0
360,1,0,0,1,0,1,0,0,0
361,1,1,0,0,0,0,1,0,1
362,1,1,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0
364,1,0,0,0,0,0,1,0,0
365,1,1,1,1,0,1,0,0,1
366,1,0,0,0,0,0,0,0,0
367,1,0,0,0,0,1,0,1,0
368,0,1,0,0,0,0,0,0,1
369,1,0,0,0,0,0,0,0,1
370,1,0,0,0,0,0,0,0,0
371,0,1,0,0,0,0,0,1,0
372,1,1,0,1,1,1,0,0,0
373,0,0,0,0,0,0,0,1,0
374,1,0,0,0,0,0,1,0,0
375,0,0,0,0,1,0,0,0,0
376,1,1,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0
378,1,1,1,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,1,0
381,1,1,0,0,0,1,0,0,1
382,1,0,0,0,0,0,0,0,0
383,1,0,0,0,0,0,0,0,0
384,1,0,0,0,0,1,0,0,1
385,0,1,0,0,0,1,0,0,0
386,1,0,0,0,0,0,0,0,1
387,1,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0
389,1,0,0,0,0,0,0,0,0
390,1,0,0,0,0,1,0,0,1
391,1,0,0,0,0,0,0,0,0
392,0,0,0,0,0,1,0,0,1
393,1,0,0,0,1,1,0,0,1
394,1,0,0,0,1,0,0,1,0
395,1,0,0,0,0,1,0,1,1
396,0,1,0,0,0,0,0,0,0
397,1,0,0,0,0,0,0,1,1
398,1,0,0,1,1,0,0,0,1
399,0,0,0,0,0,0,0,1,0
400,1,1,0,0,0,1,0,0,0
401,1,1,0,0,0,0,0,0,0
402,1,1,1,1,1,0,1,1,1
403,0,0,0,0,0,0,0,0,0
404,0,0,1,0,0,0,0,0,1
405,1,0,0,0,0,0,0,0,1
406,0,0,0,0,0,0,0,1,0
407,0,0,0,0,0,0,0,0,1
408,0,0,0,0,0,0,0,0,1
409,1,0,0,0,0,1,0,0,1
410,1,1,0,0,0,0,1,0,0
411,1,0,0,0,0,1,1,0,0
412,1,1,0,1,1,1,0,1,0
413,1,0,0,0,0,0,0,0,1
414,0,0,0,0,0,0,0,0,1
415,1,0,0,0,0,0,0,0,1
416,1,1,0,1,1,1,0,0,1
417,1,1,0,0,0,0,0,0,1
418,1,1,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0,0,0
420,1,0,0,0,1,0,0,0,0
421,0,1,0,0,0,0,0,0,0
422,1,0,0,0,0,0,0,0,0
423,1,0,0,0,0,0,0,0,0
424,1,1,0,0,0,1,0,0,0
425,1,0,0,0,0,1,0,0,0
426,1,0,0,0,1,0,0,0,0
427,1,1,0,1,0,1,1,1,0
428,0,1,0,0,1,0,0,0,0
429,1,0,0,0,0,0,0,0,1
430,1,0,0,0,0,1,0,0,0
431,1,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,1,1
433,1,1,1,0,0,0,0,0,0
434,1,1,0,0,0,0,0,0,0
435,1,0,0,1,0,1,1,0,0
436,1,0,0,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0
438,0,1,0,0,0,1,0,0,1
439,1,1,0,0,0,0,0,0,0
440,1,0,0,0,1,0,0,0,0
441,1,1,0,0,1,1,0,0,0
442,1,0,0,0,0,0,0,0,0
443,1,0,0,0,0,0,0,0,0
444,1,1,0,0,0,0,0,0,0
445,1,0,0,0,0,0,0,0,0
446,1,0,0,0,0,0,0,0,0
447,1,1,1,1,1,0,0,1,0
448,1,0,1,1,1,0,0,1,1
449,1,0,0,0,1,0,0,0,0
450,0,0,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,0,0
452,1,0,0,1,0,0,0,1,0
453,1,1,0,0,0,0,1,1,0
454,1,1,0,0,1,0,0,0,0
455,1,0,0,0,0,0,0,0,0
456,1,0,0,0,0,0,0,0,0
457,1,0,0,0,1,0,0,0,0
458,0,0,0,0,1,0,0,0,0
459,1,1,0,0,0,0,0,0,1
460,1,1,1,0,1,0,1,1,0
461,0,0,0,0,0,1,1,0,0
462,1,0,0,0,0,1,1,0,0
463,0,0,0,0,1,1,0,0,1
464,0,0,0,0,0,0,0,0,1
465,1,1,0,0,0,0,0,0,0
466,1,0,0,0,0,0,0,1,1
467,1,0,0,0,0,1,0,0,0
468,1,0,0,0,1,0,0,0,0
469,0,0,0,0,1,0,0,0,0
470,1,1,0,0,0,0,1,0,1
471,1,0,0,0,1,0,0,0,0
472,1,0,0,0,0,1,0,0,0
473,1,0,0,0,0,1,0,0,0
474,0,0,0,0,0,1,0,0,0
475,0,0,0,0,0,0,0,0,0
476,1,0,0,0,0,1,0,0,0
477,1,1,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0,1
479,1,0,0,0,0,1,0,0,0
480,1,0,0,1,1,0,0,1,0
481,1,0,0,0,0,0,0,0,1
482,0,0,0,0,0,0,0,0,0
483,0,0,0,0,0,1,0,0,0
484,1,0,0,0,0,0,1,0,0
485,0,1,0,0,1,1,0,0,0
486,1,1,0,0,0,0,0,0,1
487,1,0,1,0,0,0,0,0,0
488,1,1,0,0,0,1,0,1,0
489,1,0,0,0,1,0,0,0,0
490,0,1,0,0,0,0,0,0,0
491,0,1,1,1,1,0,0,1,1
492,1,0,0,1,0,0,0,0,0
493,1,1,0,0,1,1,0,0,1
494,0,0,0,0,0,0,0,0,0
495,1,1,0,0,0,0,0,1,1
496,0,0,0,0,0,0,0,1,0
497,1,0,0,0,0,0,0,1,1
498,1,0,0,0,1,0,0,0,0
499,1,0,0,0,0,0,0,0,1
500,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,1,0
502,1,1,0,0,0,0,0,0,0
503,1,0,1,1,0,0,0,1,1
504,1,0,1,0,0,0,0,0,0
505,1,0,0,0,1,0,1,0,0
506,1,0,0,1,1,0,0,0,1
507,0,0,0,0,0,0,0,0,0
508,1,0,0,0,0,0,0,0,0
509,0,1,0,0,0,0,0,0,0
510,1,0,0,0,0,0,0,0,0
511,1,0,0,0,0,0,0,0,0
512,1,1,0,0,0,0,0,1,0
513,1,1,0,0,0,0,1,0,0
514,0,1,0,0,0,0,0,0,0
515,1,1,0,0,1,0,0,0,1
516,1,0,0,0,0,0,0,0,0
517,0,0,0,0,0,0,0,0,0
518,0,0,1,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,1
520,0,0,1,0,1,0,0,1,0
521,0,0,0,0,0,0,1,0,0
522,1,0,0,0,0,0,0,0,0
523,1,0,0,0,0,0,0,0,1
524,0,1,0,0,0,1,0,0,0
525,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,1,0,0,0
527,1,1,0,0,0,0,0,1,1
528,0,0,0,0,0,0,1,0,0
529,0,0,0,0,0,0,1,0,1
530,1,0,0,0,0,0,0,0,0
531,0,1,1,0,0,0,0,0,0
532,1,0,0,0,0,1,0,0,1
533,0,0,0,0,0,0,0,0,0
534,1,1,0,0,1,1,0,0,0
535,1,0,0,0,1,0,0,0,0
536,1,0,0,0,1,0,0,0,0
537,1,1,0,0,0,0,0,0,0
538,0,0,0,0,1,1,0,0,0
539,1,0,0,0,0,1,0,0,1
540,1,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,1
542,0,0,0,0,0,0,1,0,0
543,0,0,0,0,0,1,1,0,1
544,1,0,0,0,1,1,0,1,0
545,1,0,0,0,0,1,1,0,0
546,1,1,0,0,0,0,0,0,1
547,1,1,0,0,1,1,0,1,0
548,1,0,1,0,0,1,1,0,1
549,1,0,0,0,0,1,0,0,0
550,1,1,0,0,1,0,0,0,0
551,1,0,0,0,0,0,0,0,0
552,1,1,0,0,0,0,0,0,0
553,1,0,0,0,0,0,0,0,0
554,1,1,0,0,0,0,0,0,0
555,1,1,0,1,1,1,1,0,1
556,0,0,0,0,0,0,1,0,0
557,0,1,0,0,0,0,0,0,0
558,1,0,0,0,0,0,1,0,1
559,1,0,0,0,1,0,0,0,0
560,1,1,1,0,1,1,0,0,0
561,1,1,0,0,0,1,0,0,0
562,1,0,1,0,1,0,0,1,0
563,1,0,0,0,0,0,0,1,0
564,1,0,0,0,0,0,0,0,0
565,1,1,0,0,1,1,1,0,0
566,1,1,0,0,1,0,0,0,0
567,1,0,0,0,1,0,1,0,0
568,1,1,0,0,0,0,0,0,1
569,1,0,0,0,0,0,0,0,0
570,1,0,0,0,0,1,0,0,0
571,1,0,0,0,0,0,0,0,0
572,0,0,1,0,0,1,0,0,0
573,1,0,0,0,0,1,0,0,0
574,1,0,0,0,1,0,0,0,0
575,1,1,1,0,1,1,0,1,1
576,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0
578,1,1,0,1,0,0,1,0,0
579,0,0,0,0,0,0,0,0,0
580,1,0,0,0,0,0,0,0,0
581,1,0,0,0,0,0,0,0,0
582,1,1,0,0,0,0,0,0,0
583,0,0,0,0,0,1,0,0,1
584,1,1,0,0,0,1,0,0,1
585,1,0,0,0,0,0,0,0,0
586,1,0,1,0,0,0,0,1,0
587,1,1,0,0,0,1,0,0,1
588,0,0,0,0,0,0,0,0,1
589,1,0,0,0,0,0,0,0,0
590,1,1,0,0,0,0,0,0,0
591,1,0,0,0,0,0,0,0,1
592,1,0,0,0,0,0,0,0,0
593,1,1,0,0,1,1,0,0,0
594,0,0,0,0,0,1,1,1,0
595,1,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0
598,0,1,0,0,0,1,0,0,0
599,1,0,1,0,1,0,0,0,0
600,1,1,0,0,0,0,0,0,1
601,1,1,0,0,1,0,0,1,0
602,1,1,0,0,0,0,0,0,1
603,0,0,0,0,0,0,0,0,0
604,1,0,1,0,1,0,0,1,1
605,0,0,0,0,1,0,1,0,0
606,1,1,0,1,0,0,0,0,0
607,1,0,0,0,0,0,0,1,1
608,0,0,0,0,1,0,0,0,1
609,1,0,0,0,0,0,1,0,0
610,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0
612,1,0,0,1,0,0,0,0,1
613,1,0,0,1,1,1,1,1,0
614,1,0,0,1,1,1,1,0,0
615,0,0,0,0,0,0,0,0,0
616,1,0,0,1,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0
618,1,0,0,0,0,0,0,0,0
619,1,0,0,0,0,0,0,0,0
620,0,0,0,0,0,1,0,1,1
621,1,1,0,0,0,1,0,0,0
622,1,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,1,0,0
624,0,1,0,0,0,0,0,0,0
625,1,1,0,0,0,1,0,0,0
626,1,0,0,0,0,1,1,0,1
627,1,0,0,1,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0
629,1,0,0,1,0,1,1,0,0
630,1,0,0,0,0,0,0,0,0
631,1,0,0,0,1,0,0,0,0
632,1,1,0,0,0,0,0,1,0
633,1,0,0,0,0,0,0,0,0
634,1,0,0,0,0,0,0,1,1
635,1,0,0,0,0,0,1,0,0
636,1,1,0,1,0,1,0,0,0
637,1,0,0,0,1,0,0,0,0
638,0,0,0,0,0,1,0,0,0
639,1,0,0,0,0,1,0,1,0
640,1,0,0,0,0,0,0,0,1
641,0,1,0,0,0,0,0,0,1
642,0,0,0,0,1,0,0,1,0
643,1,0,0,0,0,0,0,0,0
644,1,0,0,0,1,0,0,0,1
645,1,0,0,0,0,1,0,0,1
646,1,0,0,0,0,0,0,0,0
647,0,0,0,0,0,1,0,0,0
648,1,0,0,0,0,0,0,0,0
649,0,1,0,0,0,0,0,1,0
650,0,0,0,0,0,0,0,0,0
651,1,0,0,0,0,1,0,0,1
652,1,1,0,0,1,0,0,0,0
653,1,0,0,0,0,1,0,1,1
654,1,0,0,0,0,0,0,0,0
655,0,0,0,0,0,0,0,0,1
656,1,1,0,0,0,0,0,0,0
657,0,1,0,0,0,1,0,0,0
658,1,0,0,0,0,0,0,0,1
659,0,0,0,0,0,1,0,0,1
660,1,0,0,0,0,0,0,0,0
661,1,0,0,0,0,0,0,0,0
662,1,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0,0
664,0,1,0,0,0,1,0,0,0
665,1,1,1,1,1,0,1,0,0
666,1,0,0,1,0,0,0,1,1
667,1,0,0,0,0,0,0,0,0
668,1,0,0,0,1,0,1,1,0
669,1,0,0,0,0,0,1,1,1
670,1,1,0,0,0,1,1,0,1
671,1,1,0,0,1,0,0,0,1
672,0,1,0,0,0,0,0,1,1
673,1,0,0,0,0,1,0,0,0
674,1,0,0,0,0,0,0,0,1
675,1,0,0,0,0,0,0,0,0
676,1,0,0,0,0,1,0,1,0
677,1,0,0,0,0,0,1,0,0
678,0,0,0,0,0,0,0,0,0
679,1,1,0,0,0,1,0,0,0
680,1,1,0,0,0,1,0,0,1
681,1,1,0,0,0,0,0,0,1
682,1,1,0,0,0,0,0,0,1
683,0,1,0,0,0,0,0,0,0
684,1,0,0,0,1,0,0,0,0
685,0,0,0,0,0,0,0,1,0
686,1,0,1,0,1,0,0,0,0
687,0,0,1,1,1,0,1,1,1
688,1,0,0,0,0,1,0,0,0
689,0,1,0,0,0,0,0,0,1
690,1,0,0,0,0,0,0,0,0
691,0,0,0,0,1,0,0,0,0
692,1,0,0,0,0,0,0,0,0
693,1,0,0,0,0,1,0,0,1
694,0,1,0,0,0,0,0,0,0
695,1,1,0,0,0,0,0,1,0
696,1,0,0,0,0,1,0,0,0
697,1,0,0,0,0,0,0,0,0
